기준연월,지역명,방문자 수,숙박방문자 수,신용카드 소비액(천원),식음료업(천원),쇼핑업(천원),숙박업(천원),여가서비스업(천원),운송업(천원),여행업(천원),무박,1박,2박,3박이상,평균 체류시간(분),동행자유형언급(기타가족),동행자유형언급(친구),동행자유형언급(부모님),동행자유형언급(회사동료),동행자유형언급(싱글),동행자유형언급(자녀),동행자유형언급(연인),동행자유형언급(배우자),동행자유형언급(학생),SNS 검색량(건),목적지 유형 검색량(숙박),목적지 유형 검색량(음식),목적지 유형 검색량(기타관광),목적지 유형 검색량(쇼핑),목적지 유형 검색량(자연관광),목적지 유형 검색량(문화관광),목적지 유형 검색량(역사관광),목적지 유형 검색량(체험관광),목적지 유형 검색량(레저스포츠),여행유형/트렌드별 검색량(레포츠),여행유형/트렌드별 검색량(휴식/힐링),여행유형/트렌드별 검색량(체험),여행유형/트렌드별 검색량(미식),여행유형/트렌드별 검색량(기타)
2020년10월,강원도 강릉시 ,2950534,563998,17562232,11155326,3239880,2163953,984667,18406,0,2385396,442800,84570,36628,299,9999,5368,4267,2575,2081,3037,2344,2097,874,45308,105533,208492,7541,73136,112250,35005,19390,7420,15944,5725,4779,370,673,1119
2020년11월,강원도 강릉시 ,2303632,445369,14981529,9395529,2912063,1784286,872290,17361,0,1857345,348935,66285,30149,312,9254,4720,3991,2553,1908,2885,2095,2113,875,40886,78782,159053,3015,51977,65324,25970,11629,6740,9858,4079,4215,321,708,1169
2020년12월,강원도 강릉시 ,1969872,372160,10451115,6294174,2236166,1339169,577160,4441,5,1596856,279497,56453,36211,339,9487,4858,3284,2991,1594,2976,1821,1710,1159,39450,71701,130497,2935,56608,69276,22191,9428,4971,6656,4358,3368,290,538,1016
2021년01월,강원도 강릉시 ,1895670,334824,9941888,6221900,1970766,1260239,484096,4887,0,1560354,256807,48540,29477,314,6213,3017,2609,1445,1186,1813,1251,1238,681,25565,62669,129382,2421,54524,63818,20058,9205,2755,5952,2547,2456,140,385,2456
2021년02월,강원도 강릉시 ,2387393,514418,14296733,9571576,2287007,1822406,601233,11593,2918,1872169,383405,85019,45994,363,7285,3403,3131,1593,1411,2018,1468,1401,617,29208,99056,222686,4090,73748,101010,36715,16240,5050,10652,3060,2475,204,465,677
2021년03월,강원도 강릉시 ,2162720,389200,12374197,7746620,2382725,1461444,761439,20669,1300,1772945,292669,54423,42108,331,7751,3948,3379,2416,1558,2416,1772,1688,639,33369,65253,144442,2732,46638,59168,21173,10097,2199,7675,3373,2933,222,737,784
2021년04월,강원도 강릉시 ,2225763,463131,14358169,9074248,2587918,1799645,883032,13327,0,1762245,353392,76054,33684,340,8820,4493,3594,2437,1747,2766,1885,1922,639,38193,85867,177288,5917,52787,73572,28767,15096,3292,9894,3737,4202,271,676,1004
2021년05월,강원도 강릉시 ,2594320,533899,16599701,10422253,2808536,2305263,1052171,11478,0,2059605,418029,80632,35238,325,12922,6582,5648,2637,2260,3189,2456,2275,1031,52187,106623,222153,9437,65092,93801,36983,17025,5620,11464,5723,5219,312,709,1224
2021년06월,강원도 강릉시 ,2629956,554890,16953346,10999934,2626983,2302098,1010391,11330,2610,2074547,429540,89608,35742,332,11818,6550,5360,2859,2464,3298,2418,2396,930,53351,107545,219666,8898,67131,103271,33790,15664,5244,12227,7068,5634,383,730,1443
2021년07월,강원도 강릉시 ,2834084,604375,17146344,10901122,2506719,2742108,983443,12952,0,2229296,436282,120145,47948,364,13268,7418,5771,3466,2911,4035,2610,2311,1365,59772,123767,235095,10393,73741,107961,32650,14789,6523,12095,7655,6428,422,772,1340
